company_name,website,location
Compass Real Estate,https://www.compass.com,New York, USA
Douglas Elliman,https://www.elliman.com,New York, USA
Brown Harris Stevens,https://www.bhsusa.com,New York, USA
Corcoran Group,https://www.corcoran.com,New York, USA
Sotheby's International Realty,https://www.sothebysrealty.com,New York, USA
Keller Williams NYC,https://www.kwnyc.com,New York, USA
Halstead Real Estate,https://www.halstead.com,New York, USA
Nest Seekers International,https://www.nestseekers.com,New York, USA
Brownstone Real Estate,https://www.brownstonerealestate.com,New York, USA
Warburg Realty,https://www.warburgrealty.com,New York, USA
